estacion,fecha,numero
Carabanchel,11/02/2024,4.353
Eugenia de Montijo,05/02/2024,4.700
Eugenia de Montijo,06/02/2024,4.929
Eugenia de Montijo,07/02/2024,5.086
Eugenia de Montijo,08/02/2024,4.892
Eugenia de Montijo,09/02/2024,4.888
Eugenia de Montijo,10/02/2024,3.577
Eugenia de Montijo,11/02/2024,2.684
Aluche,05/02/2024,18.644
Aluche,06/02/2024,19.387
Aluche,07/02/2024,19.461
Aluche,08/02/2024,19.080
Aluche,09/02/2024,19.657
Aluche,10/02/2024,14.782
Aluche,11/02/2024,9.733
Empalme,05/02/2024,4.358
Empalme,06/02/2024,4.494
Empalme,07/02/2024,4.522
Empalme,08/02/2024,4.430
Empalme,09/02/2024,4.572
Empalme,10/02/2024,3.079
Empalme,11/02/2024,2.120
Campamento,05/02/2024,7.091
Campamento,06/02/2024,7.274
Campamento,07/02/2024,7.149
Campamento,08/02/2024,7.195
Campamento,09/02/2024,7.346
Campamento,10/02/2024,5.026
Campamento,11/02/2024,3.916
Casa de Campo,05/02/2024,4.635
Casa de Campo,06/02/2024,4.806
Casa de Campo,07/02/2024,4.771
Casa de Campo,08/02/2024,4.665
Casa de Campo,09/02/2024,4.740
Casa de Campo,10/02/2024,3.802
Casa de Campo,11/02/2024,2.426
El Capricho,05/02/2024,2.273
El Capricho,06/02/2024,2.348
El Capricho,07/02/2024,2.378
El Capricho,08/02/2024,2.438
El Capricho,09/02/2024,2.432
El Capricho,10/02/2024,1.830
El Capricho,11/02/2024,1.187
Alameda de Osuna,05/02/2024,4.632
Alameda de Osuna,06/02/2024,5.005
Alameda de Osuna,07/02/2024,5.147
Alameda de Osuna,08/02/2024,4.881
Alameda de Osuna,09/02/2024,4.825
Alameda de Osuna,10/02/2024,3.102
Alameda de Osuna,11/02/2024,1.935
Oporto,05/02/2024,24.537
Oporto,06/02/2024,25.356
Oporto,07/02/2024,25.479
Oporto,08/02/2024,25.481
Oporto,09/02/2024,25.636
Oporto,10/02/2024,19.901
Oporto,11/02/2024,14.696
Laguna,05/02/2024,8.289
Laguna,06/02/2024,8.496
Laguna,07/02/2024,8.545
Laguna,08/02/2024,8.308
Laguna,09/02/2024,8.140
Laguna,10/02/2024,6.345
Laguna,11/02/2024,5.051
Carpetana,05/02/2024,13.310
Carpetana,06/02/2024,13.497
Carpetana,07/02/2024,13.621
Carpetana,08/02/2024,13.307
Carpetana,09/02/2024,13.702
Carpetana,10/02/2024,9.893
Carpetana,11/02/2024,7.486
Opañel,05/02/2024,8.917
Opañel,06/02/2024,9.316
Opañel,07/02/2024,9.417
Opañel,08/02/2024,9.267
Opañel,09/02/2024,9.068
Opañel,10/02/2024,6.504
