Código_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"507","551","1215",44.196,2.240,17168.248,39566.455,234.596,0.126,0.249,0.594,0.903,0.065,11.291,0.442,0.105,0.095,0.120,0.035,0.012,0.000,0.136,0.134,0.046,0.030,0.000,0.048,0.011,0.000,0.068,0.032,0.002,0.000,0.035,0.040,0.000,0.000
"410","630","1296",40.142,2.148,24868.844,56184.794,138.988,0.155,0.147,0.672,0.848,0.127,14.889,0.500,0.154,0.124,0.110,0.034,0.008,0.000,0.144,0.118,0.031,0.025,0.005,0.033,0.003,0.000,0.074,0.029,0.000,0.000,0.028,0.033,0.000,0.000
"708","505","1180",41.476,2.486,24660.411,62716.030,161.702,0.153,0.168,0.668,0.870,0.118,10.064,0.496,0.081,0.072,0.124,0.032,0.012,0.001,0.105,0.163,0.041,0.049,0.013,0.045,0.009,0.004,0.090,0.043,0.004,0.000,0.038,0.045,0.000,0.000
"709","738","1511",41.701,2.121,22219.993,48077.278,236.450,0.150,0.179,0.651,0.888,0.096,11.293,0.485,0.150,0.125,0.115,0.035,0.014,0.001,0.154,0.114,0.043,0.034,0.005,0.032,0.005,0.002,0.068,0.026,0.002,0.000,0.027,0.026,0.000,0.000
"411","567","1195",39.750,2.178,24317.197,57808.381,218.815,0.145,0.167,0.625,0.847,0.093,10.962,0.465,0.141,0.117,0.103,0.031,0.011,0.001,0.128,0.114,0.031,0.026,0.005,0.032,0.003,0.002,0.077,0.026,0.001,0.000,0.030,0.043,0.001,0.000
"511","464","1101",44.825,2.449,32721.368,87382.258,102.170,0.118,0.245,0.608,0.857,0.117,7.525,0.453,0.119,0.119,0.096,0.042,0.014,0.001,0.119,0.129,0.029,0.028,0.009,0.042,0.008,0.004,0.077,0.028,0.003,0.001,0.042,0.059,0.001,0.000
"711","504","1259",44.943,2.593,33003.609,88956.185,169.730,0.124,0.245,0.613,0.886,0.097,6.918,0.457,0.117,0.114,0.095,0.036,0.012,0.001,0.110,0.125,0.031,0.027,0.017,0.036,0.006,0.007,0.076,0.031,0.003,0.002,0.041,0.080,0.001,0.000
"909","550","1257",43.643,2.431,27786.836,67663.595,358.355,0.151,0.220,0.627,0.941,0.054,11.256,0.465,0.128,0.113,0.107,0.033,0.013,0.002,0.121,0.131,0.042,0.039,0.013,0.040,0.006,0.003,0.080,0.025,0.005,0.001,0.036,0.050,0.000,0.000
"617","516","1466",43.646,2.950,32863.592,91994.056,358.355,0.149,0.220,0.626,0.941,0.054,3.752,0.466,0.094,0.104,0.082,0.035,0.010,0.004,0.088,0.132,0.032,0.036,0.025,0.039,0.009,0.010,0.087,0.032,0.007,0.004,0.048,0.108,0.004,0.002
"618","692","1595",44.279,2.474,32659.785,81114.882,293.189,0.124,0.215,0.652,0.862,0.132,5.383,0.485,0.132,0.114,0.101,0.036,0.013,0.004,0.108,0.133,0.035,0.036,0.016,0.036,0.009,0.007,0.075,0.026,0.004,0.002,0.038,0.062,0.001,0.000
