route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__524___,CRTM,524,MADRID (Príncipe Pío) - MÓSTOLES SUR,,3,https://www.crtm.es/8__524___.aspx,8EBF42,FFFFFF
8__526___,CRTM,526,FUENLABRADA - MÓSTOLES (Por FF.CC),,3,https://www.crtm.es/8__526___.aspx,8EBF42,FFFFFF
8__527___,CRTM,527,MÓSTOLES (Estación FFCC)-FUENLABRADA (Urb. Loranca),,3,https://www.crtm.es/8__527___.aspx,8EBF42,FFFFFF
8__528___,CRTM,528,MADRID (Príncipe Pío)-NAVALCARNERO,,3,https://www.crtm.es/8__528___.aspx,8EBF42,FFFFFF
8__529___,CRTM,529,MÓSTOLES (Hospital Rey Juan Carlos)-NAVALCARNERO-EL ÁLAMO,,3,https://www.crtm.es/8__529___.aspx,8EBF42,FFFFFF
8__529_A__,CRTM,529A,MÓSTOLES (Hospital Rey Juan Carlos)-NAVALCARNERO-BATRES,,3,https://www.crtm.es/8__529_A__.aspx,8EBF42,FFFFFF
8__529_H__,CRTM,529H,MÓSTOLES (Hospital Rey Juan Carlos) - NAVALCARNERO,,3,https://www.crtm.es/8__529_H__.aspx,8EBF42,FFFFFF
8__530___,CRTM,530,NAVALCARNERO-VILLANUEVA DE LA CAÑADA,,3,https://www.crtm.es/8__530___.aspx,8EBF42,FFFFFF
8__531___,CRTM,531,MÓSTOLES (Hospital Rey Juan Carlos)-NAVALCARNERO-SEVILLA LA NUEVA,,3,https://www.crtm.es/8__531___.aspx,8EBF42,FFFFFF
8__531_A__,CRTM,531A,MÓSTOLES (Hospital Rey Juan Carlos)-NAVALCARNERO-VILLAMANTILLA,,3,https://www.crtm.es/8__531_A__.aspx,8EBF42,FFFFFF
8__532___,CRTM,532,MADRID (Colonia Jardín)-SEVILLA LA NUEVA,,3,https://www.crtm.es/8__532___.aspx,8EBF42,FFFFFF
8__534___,CRTM,534,MADRID (Príncipe Pío)-URB. PARQUE COIMBRA-XANADÚ,,3,https://www.crtm.es/8__534___.aspx,8EBF42,FFFFFF
8__538___,CRTM,538,MADRID (Príncipe Pío) - NAVALCARNERO (La Dehesa),,3,https://www.crtm.es/8__538___.aspx,8EBF42,FFFFFF
8__539___,CRTM,539,MADRID (Príncipe Pío)-EL ÁLAMO,,3,https://www.crtm.es/8__539___.aspx,8EBF42,FFFFFF
8__541___,CRTM,541,MADRID (Príncipe Pío)-VILLAMANTA-LA TORRE DE E. HAMBRAN,,3,https://www.crtm.es/8__541___.aspx,8EBF42,FFFFFF
8__545___,CRTM,545,MADRID (Príncipe Pío)-CENICIENTOS-SOTILLO DE LA ADRADA,,3,https://www.crtm.es/8__545___.aspx,8EBF42,FFFFFF
8__546___,CRTM,546,MADRID (Príncipe Pío)-ROZAS DE PUERTO REAL-CASILLAS,,3,https://www.crtm.es/8__546___.aspx,8EBF42,FFFFFF
8__547___,CRTM,547,MADRID (Príncipe Pío)-V.DEL PRADO-ALMOROX-ALDEA EN CABO,,3,https://www.crtm.es/8__547___.aspx,8EBF42,FFFFFF
8__548___,CRTM,548,MADRID (Príncipe Pío)-ALDEA DEL FRESNO-CALALBERCHE,,3,https://www.crtm.es/8__548___.aspx,8EBF42,FFFFFF
8__551___,CRTM,551,MADRID (Príncipe Pío)-SAN MARTÍN DE VALDEIGLESIAS-EL TIEMBLO/CEBREROS,,3,https://www.crtm.es/8__551___.aspx,8EBF42,FFFFFF
8__560___,CRTM,560,POZUELO DE ALARCÓN-ALCORCÓN,,3,https://www.crtm.es/8__560___.aspx,8EBF42,FFFFFF
8__561___,CRTM,561,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS,,3,https://www.crtm.es/8__561___.aspx,8EBF42,FFFFFF
8__561_A__,CRTM,561A,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS (por Universidad),,3,https://www.crtm.es/8__561_A__.aspx,8EBF42,FFFFFF
8__561_B__,CRTM,561B,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS (por Av. Guadarrama),,3,https://www.crtm.es/8__561_B__.aspx,8EBF42,FFFFFF
8__562___,CRTM,562,MADRID (Aluche)-POZUELO DE ALARCÓN,,3,https://www.crtm.es/8__562___.aspx,8EBF42,FFFFFF
8__563___,CRTM,563,MADRID (Aluche)-POZUELO (Por Urb. Las Minas),,3,https://www.crtm.es/8__563___.aspx,8EBF42,FFFFFF
8__564___,CRTM,564,MADRID (Aluche)-POZUELO (Por Somosaguas Sur),,3,https://www.crtm.es/8__564___.aspx,8EBF42,FFFFFF
8__565___,CRTM,565,POZUELO (Est. El Barrial) - BOADILLA (Est. Puerta de Boadilla),,3,https://www.crtm.es/8__565___.aspx,8EBF42,FFFFFF
8__566___,CRTM,566,BOADILLA DEL MONTE-POZUELO DE ALARCÓN,,3,https://www.crtm.es/8__566___.aspx,8EBF42,FFFFFF
8__567___,CRTM,567,VILLAVICIOSA DE ODÓN-MAJADAHONDA,,3,https://www.crtm.es/8__567___.aspx,8EBF42,FFFFFF
8__571___,CRTM,571,MADRID (Aluche)-BOADILLA (Por Urb. Montepríncipe),,3,https://www.crtm.es/8__571___.aspx,8EBF42,FFFFFF
8__572___,CRTM,572,MADRID (Aluche)-CIUDAD DE LA IMAGEN,,3,https://www.crtm.es/8__572___.aspx,8EBF42,FFFFFF
8__573___,CRTM,573,MADRID (Moncloa)-BOADILLA (Por Urb. Montepríncipe),,3,https://www.crtm.es/8__573___.aspx,8EBF42,FFFFFF
8__574___,CRTM,574,MADRID (Aluche)-BOADILLA DEL MONTE (Por Ciudad Financiera),,3,https://www.crtm.es/8__574___.aspx,8EBF42,FFFFFF
8__575___,CRTM,575,BOADILLA DEL MONTE-BRUNETE,,3,https://www.crtm.es/8__575___.aspx,8EBF42,FFFFFF
8__580___,CRTM,580,MAJADAHONDA(Hospital)-BRUNETE,,3,https://www.crtm.es/8__580___.aspx,8EBF42,FFFFFF
8__581___,CRTM,581,MADRID (Príncipe Pío)-BRUNETE-QUIJORNA,,3,https://www.crtm.es/8__581___.aspx,8EBF42,FFFFFF
